"ID_MANAGEMENT","ID_TYPE","ID_USER","EXPIRES"
7774398,P,281,2022-05-05 17:58:59.000
7774659,P,4792,2022-11-10 02:42:45.000
7715764,P,302,2022-01-25 17:49:34.000
7774399,P,281,2022-05-05 17:58:59.000
7716117,P,302,2022-01-25 17:49:34.000
7716109,P,302,2022-01-25 17:49:34.000
7716110,P,302,2022-01-25 17:49:34.000
7716111,P,302,2022-01-25 17:49:34.000
7716112,P,302,2022-01-25 17:49:34.000
7716113,P,302,2022-01-25 17:49:34.000
