"ID","CREATED_AT","UPDATED_AT","CREATED_BY","UPDATED_BY","ACTIVE","DESCRIPTION"
1,2020-06-01 21:35:31.000,2020-06-01 21:35:31.000,,,1,Info errónea
2,2020-06-01 21:35:31.000,2020-06-01 21:35:31.000,,,1,Dato erróneo
3,2020-06-01 21:35:31.000,2020-06-01 21:35:31.000,,,1,Carga errónea
4,2020-06-01 21:35:31.000,2020-06-01 21:35:31.000,,,1,Deuda
5,2020-06-01 21:35:31.000,2020-06-01 21:35:31.000,,,1,Desconoce
6,2020-06-01 21:35:31.000,2020-06-01 21:35:31.000,,,1,Sin contácto
7,2020-06-01 21:35:32.000,2020-06-01 21:35:32.000,,,1,Desiste
8,2020-06-01 21:35:32.000,2020-06-01 21:35:32.000,,,1,Sin stock
