"ID","CREATED_AT","UPDATED_AT","CREATED_BY","UPDATED_BY","ACTIVE","DESCRIPTION"
1,2019-10-11 14:09:56.000,2019-10-11 14:09:56.000,,,1,Femenino
2,2019-10-11 14:09:56.000,2019-10-11 14:09:56.000,,,1,Masculino
